Ticket,Symbol,Type,Trading Volume (in Lots),Open Time,Open Price,Close Time,Close Price,Swaps,Commission,Profit,Comment,OpenTime,Close,EMA10,EMA20,EMA50,EMA200,RSI14,BB_pctB,StochRSI_K,StochRSI_D,dist_EMA20_pips,dist_EMA200_pips,dist_to_rollHi_500_pips,dist_to_rollLo_500_pips,dir,month,rule_14_9b,rule_loose,rule_strict
175357431,AUDCAD.c,buy,0.06000,3/20/2026 13:00,0.96943,3/20/2026 14:15,0.97046,0.00000,0,4.50000,"copy #50000005, 175357388",2026-03-20 13:00:00,0.96968,0.97014,0.97104,0.97154,0.97001,35.50846,0.21203,22.24211,10.65419,-13.56711,-3.25581,64.50000,127.90000,buy,2026-03,True,True,False
175364605,AUDCAD.c,sell,0.06000,3/20/2026 14:30,0.97079,3/20/2026 16:15,0.96905,0.00000,0,7.61000,"copy #50000005, 175364555",2026-03-20 14:30:00,0.97126,0.97063,0.97094,0.97139,0.97005,50.81244,0.55418,90.93763,91.51626,3.17726,12.07302,48.70000,143.70000,sell,2026-03,True,True,True
175371536,AUDCAD.c,buy,0.06000,3/20/2026 16:30,0.96820,3/20/2026 18:15,0.96704,0.00000,0,-5.07000,"copy #50000005, 175371504",2026-03-20 16:30:00,0.96492,0.96774,0.96901,0.97038,0.96988,22.62768,-0.09457,0.00000,13.87222,-40.87590,-49.61580,112.10000,80.30000,buy,2026-03,True,True,True
175390862,AUDCAD.c,buy,0.06000,3/20/2026 19:45,0.96553,3/23/2026 1:30,0.96204,0.00000,0,-15.25000,"copy #50000005, 175390837",2026-03-20 19:45:00,0.96483,0.96560,0.96654,0.96849,0.96938,34.22757,0.23287,67.47241,70.34104,-17.05618,-45.50834,113.00000,79.40000,buy,2026-03,True,True,False
175423378,AUDCAD.c,buy,0.06000,3/23/2026 3:45,0.95958,3/23/2026 11:45,0.95699,0.00000,0,-11.32000,"copy #50000005, 175423348",2026-03-23 03:45:00,0.95923,0.96023,0.96118,0.96369,0.96749,32.46913,0.10110,38.72961,29.31227,-19.46438,-82.64931,169.00000,23.40000,buy,2026-03,True,True,False
175497431,AUDCAD.c,buy,0.06000,3/23/2026 12:45,0.95470,3/23/2026 14:15,0.96297,0.00000,0,36.16000,"copy #50000005, 175497342",2026-03-23 12:45:00,0.95089,0.95390,0.95495,0.95745,0.96400,22.17331,-0.20517,20.26836,35.09613,-40.57580,-131.06841,252.40000,5.30000,buy,2026-03,True,True,True
175552796,AUDCAD.c,sell,0.06000,3/23/2026 17:30,0.96476,3/23/2026 18:30,0.96315,0.00000,0,7.05000,"copy #50000005, 175552753",2026-03-23 17:30:00,0.96291,0.96348,0.96187,0.96017,0.96370,56.02700,0.58709,68.15083,80.67655,10.35369,-7.86429,132.20000,125.50000,sell,2026-03,True,True,False
175561754,AUDCAD.c,buy,0.06000,3/23/2026 18:45,0.96139,3/23/2026 20:45,0.96242,0.00000,0,4.50000,"copy #50000005, 175561732",2026-03-23 18:45:00,0.96052,0.96114,0.96106,0.96011,0.96351,49.46084,0.32438,9.89389,4.01863,-5.40312,-29.88067,156.10000,101.60000,buy,2026-03,True,True,True
175585740,AUDCAD.c,sell,0.06000,3/24/2026 1:30,0.96257,3/24/2026 3:15,0.96047,0.00000,0,9.17000,"copy #50000005, 175585705",2026-03-24 01:30:00,0.96265,0.96229,0.96214,0.96150,0.96321,54.11389,0.61487,84.40442,90.88636,5.05091,-5.55869,134.80000,122.90000,sell,2026-03,True,True,True
175594451,AUDCAD.c,buy,0.06000,3/24/2026 3:45,0.96001,3/24/2026 10:15,0.96173,0.00000,0,7.51000,"copy #50000005, 175594420",2026-03-24 03:45:00,0.95797,0.96034,0.96099,0.96116,0.96297,32.84654,-0.15561,16.13446,16.99749,-30.21898,-49.97881,181.60000,76.10000,buy,2026-03,True,True,True
175630132,AUDCAD.c,buy,0.06000,3/24/2026 11:30,0.95860,3/24/2026 17:15,0.95723,0.00000,0,-5.98000,"copy #50000005, 175630098",2026-03-24 11:30:00,0.95636,0.95813,0.95866,0.95939,0.96182,33.73262,0.08336,0.00000,6.48037,-23.00494,-54.62625,197.70000,60.00000,buy,2026-03,True,True,True
